,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,name
139,Facundo,Buonanotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,MID,Facundo Buonanotte
141,Mahmoud,Dahoud,0,0,4,95,1,40.1,13.2,5,0,15,5.7,1,0,1,0.1,49,MID,Mahmoud Dahoud
143,Julio,Enciso,0,2,8,68,1,25,39,30,0,30,9.4,0,0,1,1.3,53,MID,Julio Enciso
146,Billy,Gilmour,0,2,15,241,4,73.3,55.8,20,2,62,14.9,1,0,0,0.2,49,MID,Billy Gilmour
147,Pascal,Grob,1,0,16,348,5,220.8,125.6,78,3,78,42.4,1,0,1,2.4,64,MID,Pascal Groß
150,Kacper,Kozłowski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,Kacper Kozłowski
151,Adam,Lallana,0,0,2,48,2,27.9,8.2,8,0,6,4.4,0,0,1,0.1,49,MID,Adam Lallana
153,Solly,March,3,0,29,314,4,88.3,142.6,123,4,85,35.5,2,0,0,10.3,66,MID,Solly March
155,James,Milner,0,0,5,214,4,29,26.2,2,0,34,5.7,1,0,2,0.2,49,MID,James Milner
156,Kaoru,Mitoma,1,3,23,350,6,176.6,122.4,124,3,90,42.4,0,0,2,40.5,65,MID,Kaoru Mitoma
157,Jakub,Moder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,44,MID,Jakub Moder
158,Jeremy,Sarmiento Morante,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,Jeremy Sarmiento Morante
169,Jack,Hinshelwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,Jack Hinshelwood
170,Carlos,Baleba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,Carlos Baleba
171,Ansu,Fati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,65,MID,Anssumane Fati Vieira
172,Enock,Agyei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,44,MID,Enock Agyei
174,Samuel,Bastien,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,MID,Samuel Bastien
175,Manuel Benson,Hedilazio,0,0,2,61,3,2.4,2,2,0,4,0.7,0,0,0,0.1,53,MID,Manuel Benson Hedilazio
177,Josh,Brownhill,1,0,6,46,3,24.9,33.6,22,0,21,8.1,0,0,1,0.2,48,MID,Josh Brownhill
178,Darko,Churlinov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,MID,Darko Churlinov
179,Jack,Cork,0,0,1,16,0,0.9,1.8,2,0,2,0.5,0,0,0,0,49,MID,Jack Cork
180,Dara,Costelloe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID,Dara Costelloe
181,Josh,Cullen,0,1,8,270,11,39.2,38,4,0,43,8.1,0,0,1,0.1,50,MID,Josh Cullen
186,Jóhann Berg,Gudmundsson,0,1,4,90,3,56.3,30.4,6,0,17,9.3,0,0,1,0,49,MID,Jóhann Berg Gudmundsson
196,Scott,Twine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,MID,Scott Twine
200,Anass,Zaroury,0,0,-2,30,1,18.9,0,2,0,-6,1.7,0,1,0,0,49,MID,Anass Zaroury
201,Sander,Berge,0,0,4,202,8,28.6,18.6,6,0,14,5.4,0,0,1,0.1,49,MID,Sander Berge
204,Nathan,Redmond,0,0,3,53,2,15.8,9.2,4,0,10,2.9,0,0,0,0,49,MID,Nathan Redmond
205,Luca,Koleosho,0,1,9,194,10,49.7,22,27,0,20,9.9,0,0,0,0,50,MID,Luca Koleosho
206,Jacob,Bruun Larsen,0,0,3,60,1,23,6.4,25,0,6,5.2,0,0,0,0,49,MID,Jacob Bruun Larsen
208,Wilson,Odobert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,MID,Wilson Odobert
210,Aaron,Ramsey,0,0,1,22,0,1,1.2,0,0,3,0.2,0,0,0,0,50,MID,Aaron Ramsey
211,Han-Noah,Massengo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,MID,Han-Noah Massengo
212,Mike,Trésor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,MID,Mike Trésor
213,Moises,Caicedo,0,0,6,195,2,13.9,29.2,5,0,27,4.5,1,0,0,2.4,49,MID,Moisés Caicedo Corozo
